id,key,value,type
65390896,highway,turning_circle,regular
65391655,highway,traffic_signals,regular
65392158,highway,turning_circle,regular
65392817,highway,traffic_signals,regular
65394087,highway,traffic_signals,regular
65394482,highway,traffic_signals,regular
65394561,highway,stop,regular
65395422,highway,turning_circle,regular
65396310,highway,stop,regular
65396448,power,tower,regular
65396465,highway,turning_circle,regular
65396652,highway,traffic_signals,regular
65397652,highway,stop,regular
65400147,highway,turning_circle,regular
65400169,highway,stop,regular
65400193,highway,stop,regular
65401626,highway,turning_circle,regular
65401793,highway,turning_circle,regular
65401824,highway,turning_circle,regular
65402696,highway,traffic_signals,regular
65402797,highway,traffic_signals,regular
65402851,highway,crossing,regular
65402851,highway,crossing,regular
65402981,highway,traffic_signals,regular
65403048,highway,traffic_signals,regular
65403084,sound,yes,traffic_signals
65403084,sound,yes,traffic_signals
65403109,sound,yes,traffic_signals
65403109,sound,yes,traffic_signals
65403266,highway,traffic_signals,regular
65405250,highway,turning_circle,regular
65405521,highway,traffic_signals,regular
65406548,highway,turning_circle,regular
65408418,highway,turning_circle,regular
65409311,highway,turning_circle,regular
65409385,highway,stop,regular
65409590,railway,level_crossing,regular
65410018,railway,crossing,regular
65410659,highway,stop,regular
65410659,highway,stop,regular
65411808,highway,turning_circle,regular
65412497,highway,traffic_signals,regular
65412780,highway,turning_circle,regular
65413001,highway,traffic_signals,regular
65413272,highway,turning_circle,regular
65414400,highway,turning_circle,regular
65414913,highway,turning_circle,regular
65415215,highway,stop,regular
65415503,highway,stop,regular
65415876,highway,stop,regular
65416065,highway,traffic_signals,regular
65416417,highway,turning_circle,regular
65416598,highway,turning_circle,regular
65416945,highway,turning_circle,regular
65417048,highway,traffic_signals,regular
65417076,highway,traffic_signals,regular
65418670,highway,turning_circle,regular
65419940,highway,turning_circle,regular
65421113,highway,stop,regular
65422130,highway,turning_circle,regular
65423855,highway,traffic_signals,regular
65424121,highway,turning_circle,regular
