id,lat,lon,user,uid,version,changeset,timestamp
53118409,37.6430164,-122.1269358,StellanL,28775,3,3159438,2009-11-19T13:00:34Z
53118647,37.7891633,-122.2226808,oba510,933797,5,21657418,2014-04-13T04:21:48Z
53118721,37.8013174,-122.27009,andrewpmk,1679,15,29393394,2015-03-10T21:09:50Z
53118746,37.7714409,-122.2768721,oba510,933797,11,17096714,2013-07-26T05:45:43Z
53118782,37.8333308,-122.2600833,oba510,933797,8,21810059,2014-04-20T05:40:08Z
53118925,37.5228051,-122.0127686,tahongawaka,162110,5,6596599,2010-12-09T16:12:45Z
53119160,37.8227496,-122.2434836,oba510,933797,6,45882751,2017-02-07T11:37:07Z
53119318,37.6806473,-122.1449591,StellanL,28775,5,30130441,2015-04-10T22:22:51Z
53119354,37.5851175,-122.0673644,oba510,933797,4,46924250,2017-03-17T10:52:35Z
53119773,37.8595502,-122.2154706,StellanL,28775,4,3766715,2010-02-01T11:51:25Z
53119808,37.5817894,-122.0720686,oba510,933797,8,46891800,2017-03-16T09:12:38Z
53120519,37.6213425,-122.0324209,StellanL,28775,4,26016480,2014-10-12T01:57:51Z
53120577,37.8337062,-122.2278425,woodpeck_fixbot,147510,4,2172708,2009-08-17T03:19:16Z
53120646,37.7708988,-122.2510968,upendrakarukonda,4007051,8,44922328,2017-01-05T11:42:48Z
53121192,37.8027592,-122.2209194,andygol,94578,7,46414575,2017-02-26T12:39:15Z
53121409,37.6911703,-122.0579574,-MegaByte-,1745338,5,17853346,2013-09-15T16:32:38Z
53122849,37.8690618,-122.270463,oba510,933797,11,39987100,2016-06-13T08:34:09Z
53122891,37.8115817,-122.2120414,oba510,933797,5,22650041,2014-05-31T05:24:52Z
53122916,37.5700434,-122.0403837,woodpeck_fixbot,147510,5,2498408,2009-09-16T05:39:04Z
53123999,37.6473887,-122.1019537,StellanL,28775,4,3139258,2009-11-17T10:29:40Z
53124036,37.8678486,-122.2658965,oba510,933797,9,40451364,2016-07-03T04:19:14Z
53124882,37.6496695,-122.0803588,StellanL,28775,4,5275187,2010-07-20T23:36:06Z
53124969,37.8104392,-122.1958849,David Muir Sharnoff,22946,6,4111266,2010-03-13T01:45:43Z
53125191,37.5848126,-122.0467992,StellanL,28775,6,32126257,2015-06-21T21:44:43Z
53125308,37.7290552,-122.1816275,KindredCoda,14293,5,4291999,2010-04-01T08:32:23Z
53125473,37.8124923,-122.2728028,oba510,933797,16,45388649,2017-01-23T07:58:51Z
53125838,37.8404325,-122.2947375,David Muir Sharnoff,22946,5,4351642,2010-04-07T06:41:50Z
53125958,37.7972333,-122.1934268,woodpeck_fixbot,147510,3,2172708,2009-08-17T03:20:27Z
53126686,37.7632848,-122.2564987,KindredCoda,14293,5,4560702,2010-04-29T20:02:33Z
